ParentLocation,Location,HealthyLifeExpectancy,LifeExpectancy,RetirementAge
Europe,Norway,71.4,83.20975609756097,66.09999847
Europe,Malta,71.5,82.65365853658537,64.19999695
Europe,Luxembourg,71.6,81.74146341463415,60.5
Europe,Italy,71.9,82.3439024390244,63.29999924
Europe,Sweden,71.9,82.40731707317074,66.40000153
Europe,Iceland,72.0,83.06585365853661,68.09999847
Europe,France,72.1,82.17560975609757,60.79999924
Europe,Spain,72.1,82.33414634146342,62.09999847
Europe,Cyprus,72.4,81.391,64.90000153
Europe,Israel,72.4,82.7,69.40000153
Europe,Switzerland,72.5,83.1,66.40000153
Western Pacific,Singapore,73.6,83.74390243902441,
Western Pacific,Japan,74.1,84.61560975609757,70.80000305
